steel,alloyCode,hEntry,hExit,wEntry,policyNo,WRB1,WRB2,WRB3,WRB4,WRB5,IRB1,IRB2,IRB3,IRB4,IRB5,IRS1,IRS2,IRS3,IRS4,IRS5,iu_mean,iu50_mean,iu100_mean,rf_mean_1,rf50_mean_1,rfMid_mean_1,rf_mean_2,rf50_mean_2,rfMid_mean_2,rf_mean_3,rf50_mean_3,rfMid_mean_3,rf_mean_4,rf50_mean_4,rfMid_mean_4,rf_mean_5,rf50_mean_5,rfMid_mean_5,C40_average
H123A31505400,M4A16,3.368,0.654,1303.699951,32330,0.613553227842742,0.6325575945524193,0.6432588023447582,0.6458078178830645,0.21448270592338706,0.5624856356281017,0.5190413239880584,0.5309089220502482,0.5016888465617245,0.4287733259739454,0.12932880711658176,0.02084097340124504,-0.1275006364601019,-0.19068767504951897,-0.4954710124717034,1.3935887096774193,2.8982857142857137,2.4781500000000003,12990.563496260082,11912.578996964285,13133.259247801152,12474.25550103226,12534.967703642857,12429.37872050432,10914.88788827621,11758.105433928575,10737.729177005765,9596.93385558871,9771.812813785715,9561.53790579827,3921.407334846774,3921.2610212142863,3920.8504149423634,52.48837661743164
H123A21401500,M4A13,3.368,0.645,1296.5,32220,0.666999557029885,0.684529301229885,0.7473769927195403,0.7361152902321839,0.35507936991034483,0.6382682163244916,0.550164423091954,0.6207758551609195,0.604883074127321,0.4277717870725022,0.25889582447267595,0.13129147065940713,-0.022517281685823752,-0.07676999365194595,-0.3869380138011696,1.0333379310344826,3.0480714285714288,2.4612380952380954,12753.701378409196,12191.28700467857,12921.877936081966,11944.009610694253,12362.443952214287,11848.231538134425,11252.59170931954,11808.368198964288,11077.674068255737,9620.815589073565,10320.72760882143,9472.430433527868,4606.917117885057,4606.399605785714,4606.5939052852455,69.49119567871094
H123A24301500,M4A13,3.368,0.693,1303.0,32330,0.581661447843882,0.6371051461118142,0.7434866896329114,0.7151654215548523,0.3357209304388186,0.7474582689694905,0.6130851299350861,0.6371628527726387,0.5778978278846154,0.46232025602564103,0.33957783494707233,0.21913087081205126,0.07222022373972908,0.019642090436005625,-0.28600273745651045,1.077282700421941,1.7530000000000001,1.6075714285714287,12683.306428409283,11845.592006107141,12819.268136990964,11729.010944099158,12216.511928035714,11650.439673737952,11122.689570559072,11853.351039428573,10978.79089503012,9439.410720774264,10006.940708714288,9337.977039036145,4507.563513637131,4509.457589214287,4507.391603036145,54.07447814941406
HD13A12100200,M3A33,3.368,0.721,1280.800049,12320,0.6526079660801394,0.6884878359233448,0.7152788536933798,0.7181395518710801,0.38380262050871083,0.6819166444652909,0.6173221618654515,0.5912018293419995,0.6074938673599571,0.4941362966764943,0.38883819299468186,0.30849330553212295,0.15764667631273308,0.08478085398863011,-0.3816828675591418,0.9805505226480836,1.9319285714285714,1.591136363636364,12190.202005519164,10852.30702432143,12296.485516751243,10689.112188972127,10407.542271214286,10740.160705238806,9449.452247121952,10192.760567749998,9399.756855373134,8737.528347501742,8978.103620285714,8772.399603522388,4305.143580202091,4308.094499928571,4305.095980054727,
H123A21305200,M3A33,3.368,0.741,1223.199951,12320,0.6529148920758018,0.6928263096151602,0.7142668569241983,0.7195743819329447,0.3527618050466472,0.6947305352007176,0.6321829614352994,0.6073458387867235,0.6077213830959857,0.5700322005247813,0.3922815287402179,0.31853326983785996,0.16352421653112373,0.08717047559715617,-0.3875844689785689,0.8431574344023323,1.6499285714285714,1.461047619047619,12397.501489040815,11950.58750692857,12406.535656729166,10796.464801049564,11053.692975678572,10741.1473348125,9594.245766317785,10420.16078407143,9525.601245108332,8749.272515017494,9396.212332500001,8702.979683425,4305.042107527697,4304.868983607143,4304.914538629167,31.577438354492188
H123A17501900,M3A21,3.368,0.647,1210.099976,32220,0.6727571311758621,0.7230521648982758,0.760417829524138,0.752704489512069,0.5621117656741379,0.6514577589761272,0.7007518164801061,0.6351198766876657,0.6299121999568965,0.40974498536803716,0.41233871698729585,0.3762408316938899,0.2638704189473684,0.20159171162734424,-0.32169407388384763,2.0137310344827584,3.880928571428572,3.6252500000000003,11950.331014289655,10746.635532928569,12155.175451736455,12414.577409415519,11368.031877785714,12522.237634224139,10407.079327210344,11067.843122142858,10291.245085950739,10229.270977598275,10688.482421892857,10206.048650157636,4153.857065758621,4151.902099642857,4153.716866625615,35.868404388427734
H123A17102600,M4A15,3.368,0.631,1169.699951,32220,0.6297146792488336,0.6229609352301712,0.6137364101275272,0.5986140390917574,0.36362929685069983,0.4944602281175979,0.4734640250598157,0.5671562634842685,0.5066000352613949,0.45891416039598043,0.38957278228697717,0.35258219006848385,0.24394865298081908,0.18471015815121006,-0.30611661017707564,0.9089393468118195,2.3269999999999995,1.9065714285714284,10530.59319718196,11081.3734655,11217.279550775555,9718.099184121307,10907.775076785712,10486.403956159998,8846.887370286158,10713.727015857143,9630.215703108888,7603.614787863142,9024.062011785714,8376.845468755555,3950.393803771384,4115.548165464285,4116.789790048889,41.74822998046875
H123A15703400,M4A13,3.368,0.633,1170.5,32220,0.6404921853676149,0.666509636214442,0.6451246546389496,0.6211960780306345,0.4794859232472648,0.6848939924785389,0.5617319529439487,0.5302212502364921,0.5691396031955899,0.40373044958929477,0.4140354717954625,0.4138067522745594,0.37340603778264053,0.27694998254827446,-0.31901684913816264,1.0719037199124726,1.712153846153846,1.6220526315789474,11493.651796695842,10881.505859346154,11593.5043273875,10423.639135575493,10907.837139423076,10344.814038075001,9348.150243181619,10273.559157115385,9218.544461075,8201.638288319476,8912.986440807694,8089.1009842125,4108.9216314223195,4110.759624769231,4109.21621631875,47.754539489746094
HD13A11600300,M4A13,3.368,0.619,1176.099976,32220,0.570988207404157,0.6172773371385681,0.5884809821200924,0.5608635776836027,0.37354153767667436,0.5651471859113519,0.5068742617036774,0.45755523329099307,0.4941227102185113,0.41823811124622495,0.36048936459624814,0.3832241024917952,0.34063619412503554,0.2500869528463191,-0.2865944637899599,0.8586304849884527,1.7661666666666669,1.4857222222222224,10034.487381360277,10516.807657833333,11353.221173673266,9529.269644006929,10391.516113208332,10274.345374366336,8273.90283091224,9959.617390958332,8977.19908338614,7216.877133549653,8577.044921875,7945.758254046203,3692.074491625866,4107.0113626249995,4109.274551841584,
H123A17102700,M4A15,3.368,0.645,1170.599976,32220,0.6276278653659942,0.6290425525734871,0.6118645450432276,0.5260153146368877,0.34551963631123916,0.8625544579516737,0.676219398669918,0.5835024931766792,0.5739075872101529,0.42197726433052535,0.41403862739268926,0.4138077795844077,0.3919465093887456,0.2753553781283179,-0.21445189343242832,0.767193083573487,1.9849166666666669,1.5420000000000003,11561.782792230548,11001.7432455,11585.071747193415,10339.95004898271,10637.903279625001,10303.708618683127,9447.635294711816,10203.320312416667,9396.335837032922,8272.107804613832,8901.919148791667,8274.332111600823,4041.449944827089,4113.775197333333,4111.858582271605,47.515892028808594
H123A17804700,M4A13,3.368,0.645,1165.599976,32220,0.4916037846565217,0.5227156765217391,0.564377075602174,0.5648867984913043,0.37772126996956523,0.7482518441187291,0.6092300694740803,0.5171238826881271,0.5032164925167224,0.5122937107675586,0.4140347062547675,0.4135839129672006,0.3701668953394355,0.25390198577421813,-0.3117032770404271,0.836386956521739,1.7904166666666665,1.5007368421052634,11228.641104780436,10652.56457525,11373.291118742236,10237.316053836958,10658.073242166667,10181.766137546585,9366.29996602174,10382.232177708333,9225.04982287267,8257.970923908695,8816.296101875,8186.692775571427,4094.6402083847825,4097.954996708334,4094.6399153416146,40.36872863769531
